2025-11-16T15:08:15.206Z [APP] ✅ Premium features loaded successfully!
2025-11-16T15:08:15.208Z [APP] 🚀 Initializing Joplin to Anki Sync
2025-11-16T15:08:15.320Z [APP] 🔧 Verifying imported models exist...
2025-11-16T15:08:15.351Z [APP] ✅ Model verification completed
2025-11-16T15:08:15.351Z [APP] Running with Premium Two-Way Sync Engine...
2025-11-16T15:08:15.355Z [APP] 🚀 Starting Premium Two-Way Sync (Unified Engine)...
2025-11-16T15:08:15.356Z [APP] ❌ A critical error occurred during the sync process:
2025-11-16T15:08:15.357Z [APP] Sync engine failed: levelApplication is not defined
2025-11-16T15:32:58.161Z [APP] ✅ Premium features loaded successfully!
2025-11-16T15:32:58.163Z [APP] 🚀 Initializing Joplin to Anki Sync
2025-11-16T15:32:58.725Z [APP] 🔧 Verifying imported models exist...
2025-11-16T15:32:58.749Z [APP] ✅ Model verification completed
2025-11-16T15:32:58.749Z [APP] Running with Premium Two-Way Sync Engine...
2025-11-16T15:32:58.752Z [APP] 🚀 Starting Premium Two-Way Sync (Unified Engine)...
2025-11-16T15:32:58.753Z [APP] 💎 No state file found. Creating a new one at /home/cindy/.jta-sync-state.json
2025-11-16T15:32:58.753Z [APP] 📝 Initializing new state file for a fresh sync...
2025-11-16T15:33:09.931Z [APP] Retrieved tags for note d07d42f1da734af68d6479dbd44e070d: ["deck::image-test"]
2025-11-16T15:33:09.950Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "image-test"
2025-11-16T15:33:09.955Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "image-test"
2025-11-16T15:33:09.960Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "image-test"
2025-11-16T15:33:09.965Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "image-test"
2025-11-16T15:33:09.971Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "image-test"
2025-11-16T15:33:10.062Z [APP] Retrieved tags for note 743bfa6e38d5427ebc5c35b701dedc5e: ["deck::biochemistry🧪","level_1::semester_1.1::semester_1.1.1","biochemistry🧪::biochemistry_1.1::biochemistry_1.1.1"]
2025-11-16T15:33:10.064Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.066Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.069Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.071Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.075Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.078Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.081Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.085Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.086Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.088Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.089Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.092Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.097Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.101Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.102Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.104Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.106Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
2025-11-16T15:33:10.107Z [APP] 💎 Premium: Using enhanced tag-based deck structure → "biochemistry🧪"
